admin_unit_id,admin_unit_name,amount_inr_crore,status,data_freshness_days,fhtc_work_item_count,total_village_count,per_target_household,state_average_per_target_household,denominator_validation_status,denominator_review_note,source_timestamp
siddharth_nagar,Siddharth Nagar,350.52,reported_by_jjm_up_expenditure_only,30,5617.0,199,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
balrampur,Balrampur,239.97,reported_by_jjm_up_expenditure_only,30,10800.0,101,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
175,Prayagraj,164.46,reported_by_jjm_up_expenditure_only,30,1952.0,568,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
ayodhya,Ayodhya,127.15,reported_by_jjm_up_expenditure_only,30,1038.0,35,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
agra,Agra,156.91,reported_by_jjm_up_expenditure_only,30,18277.0,89,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
pilibhit,Pilibhit,73.06,reported_by_jjm_up_expenditure_only,30,1303.0,92,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
lucknow,Lucknow,97.35,reported_by_jjm_up_expenditure_only,30,8701.0,33,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
ballia,Ballia,101.31,reported_by_jjm_up_expenditure_only,30,7528.0,363,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
varanasi,Varanasi,64.8,reported_by_jjm_up_expenditure_only,30,1629.0,157,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
kanpur_nagar,Kanpur Nagar,78.72,reported_by_jjm_up_expenditure_only,30,484.0,93,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
farrukhabad,Farrukhabad,85.91,reported_by_jjm_up_expenditure_only,30,1088.0,120,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
chandauli,Chandauli,181.3,reported_by_jjm_up_expenditure_only,30,,58,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
kannauj,Kannauj,46.06,reported_by_jjm_up_expenditure_only,30,3829.0,157,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
166,Jhansi,60.72,reported_by_jjm_up_expenditure_only,30,262.0,123,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
shravasti,Shravasti,87.96,reported_by_jjm_up_expenditure_only,30,472.0,47,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
amroha,Amroha,64.53,reported_by_jjm_up_expenditure_only,30,,57,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
hathras,Hathras,0.0,reported_by_jjm_up_expenditure_only,30,,46,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
muzaffarnagar,Muzaffarnagar,52.18,reported_by_jjm_up_expenditure_only,30,309.0,143,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
baghpat,Baghpat,50.77,reported_by_jjm_up_expenditure_only,30,1088.0,83,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
lakhimpur_kheri,Lakhimpur Kheri,39.17,reported_by_jjm_up_expenditure_only,30,,139,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
ambedkar_nagar,Ambedkar Nagar,44.36,reported_by_jjm_up_expenditure_only,30,,28,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
kaushambi,Kaushambi,43.28,reported_by_jjm_up_expenditure_only,30,,47,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
sant_ravidas_nagar,Sant Ravidas Nagar,56.88,reported_by_jjm_up_expenditure_only,30,249.0,52,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
kasganj,Kasganj,28.02,reported_by_jjm_up_expenditure_only,30,448.0,26,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
barabanki,Barabanki,41.63,reported_by_jjm_up_expenditure_only,30,1078.0,192,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
kanpur_dehat,Kanpur Dehat,33.51,reported_by_jjm_up_expenditure_only,30,119.0,60,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
sultanpur,Sultanpur,33.65,reported_by_jjm_up_expenditure_only,30,339.0,67,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
jalaun,Jalaun,3.22,reported_by_jjm_up_expenditure_only,30,,63,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
fatehpur,Fatehpur,22.2,reported_by_jjm_up_expenditure_only,30,,157,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
hamirpur,Hamirpur,14.41,reported_by_jjm_up_expenditure_only,30,301.0,147,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
azamgarh,Azamgarh,8.77,reported_by_jjm_up_expenditure_only,30,21.0,172,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
sambhal,Sambhal,10.94,reported_by_jjm_up_expenditure_only,30,2628.0,29,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
amethi,Amethi,9.12,reported_by_jjm_up_expenditure_only,30,148.0,36,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
banda,Banda,2.5,reported_by_jjm_up_expenditure_only,30,,106,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
lalitpur,Lalitpur,7.42,reported_by_jjm_up_expenditure_only,30,,118,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
ghaziabad,Ghaziabad,0.0,reported_by_jjm_up_expenditure_only,30,0.0,29,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
saharanpur,Saharanpur,10.87,reported_by_jjm_up_expenditure_only,30,324.0,129,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
moradabad,Moradabad,8.17,reported_by_jjm_up_expenditure_only,30,,42,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
meerut,Meerut,6.73,reported_by_jjm_up_expenditure_only,30,84.0,101,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
mathura,Mathura,0.0,reported_by_jjm_up_expenditure_only,30,,77,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
hardoi,Hardoi,0.0,reported_by_jjm_up_expenditure_only,30,,37,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
bulandshahr,Bulandshahr,0.0,reported_by_jjm_up_expenditure_only,30,,89,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
rampur,Rampur,0.0,reported_by_jjm_up_expenditure_only,30,,81,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
raebareli,Raebareli,0.0,reported_by_jjm_up_expenditure_only,30,,77,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
bareilly,Bareilly,0.0,reported_by_jjm_up_expenditure_only,30,,46,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
aligarh,Aligarh,0.0,reported_by_jjm_up_expenditure_only,30,,54,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
mirzapur,Mirzapur,0.0,reported_by_jjm_up_expenditure_only,30,,133,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
hapur,Hapur,0.0,reported_by_jjm_up_expenditure_only,30,,71,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
auraiya,Auraiya,0.0,reported_by_jjm_up_expenditure_only,30,,43,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
bijnor,Bijnor,0.0,reported_by_jjm_up_expenditure_only,30,,158,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
unnao,Unnao,0.0,reported_by_jjm_up_expenditure_only,30,,78,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
chitrakoot,Chitrakoot,0.0,reported_by_jjm_up_expenditure_only,30,,144,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
mainpuri,Mainpuri,0.0,reported_by_jjm_up_expenditure_only,30,,27,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
sitapur,Sitapur,0.0,reported_by_jjm_up_expenditure_only,30,,49,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
shahjahanpur,Shahjahanpur,0.0,reported_by_jjm_up_expenditure_only,30,,17,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
sonbhadra,Sonbhadra,0.0,reported_by_jjm_up_expenditure_only,30,,82,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
shamli,Shamli,0.0,reported_by_jjm_up_expenditure_only,30,,51,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
gautam_buddha_nagar,Gautam Buddha Nagar,0.0,reported_by_jjm_up_expenditure_only,30,,7,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
mahoba,Mahoba,0.0,reported_by_jjm_up_expenditure_only,30,,73,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
budaun,Budaun,0.0,reported_by_jjm_up_expenditure_only,30,,29,,,not_validated_for_target_household_normalization,JJM-UP repair/expenditure table does not expose an official target-household denominator; FHTC Total is retained as a work-item count only.,downloaded_public_jjm_up_page
